Episode,Title,Author_Last,Author_Init,Duration,MP3_URL,Transcript_URL,Topics
157,"The Unseen Realm - Part 1",Heiser,MS,15:36,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-157.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-157.pdf,unseen realm
156,"The Nephilim",Heiser,MS,10:28,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-156.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-156.pdf,nephilim
155,"The Divine Council",Heiser,MS,05:20,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-155.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-155.pdf,divine council
154,"The Tower of Babel",Heiser,MS,00:12,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-154.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-154.pdf,tower of babel
153,"The Ancient Near East and the Old Testament",Heiser,MS,55:04,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-153.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-153.pdf,ancient near east old testament
152,"The Ancient Near East and the New Testament",Heiser,MS,49:56,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-152.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-152.pdf,ancient near east new testament
151,"The Ancient Near East and the Book of Revelation",Heiser,MS,44:48,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-151.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-151.pdf,ancient near east revelation
150,"Ezekiel 35-36",Heiser,MS,45:39,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-150.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-150.pdf,ezekiel
149,"Q&A with Fern, Audrey, and Beth",Heiser,MS,1:18:46,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-149.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-149.pdf,q&a
148,"Q&A 19",Heiser,MS,1:01:20,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-148.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-148.pdf,q&a
147,"Ezekiel 33-34",Heiser,MS,1:03:37,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-147.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-147.pdf,ezekiel
146,"Ezekiel 32",Heiser,MS,1:00:39,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-146.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-146.pdf,ezekiel
145,"Ezekiel 31",Heiser,MS,1:10:19,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-145.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-145.pdf,ezekiel
144,"Ezekiel 29-30",Heiser,MS,1:08:43,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-144.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-144.pdf,ezekiel
143,"Ezekiel 28",Heiser,MS,1:04:07,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-143.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-143.pdf,ezekiel
142,"Ezekiel 26-27",Heiser,MS,49:13,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-142.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-142.pdf,ezekiel
141,"Ezekiel 25",Heiser,MS,55:30,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-141.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-141.pdf,ezekiel
140,"Ezekiel 24",Heiser,MS,47:59,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-140.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-140.pdf,ezekiel
139,"Q&A 18",Heiser,MS,1:02:21,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-139.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-139.pdf,q&a
138,"What Day was Jesus Born?",Heiser,MS,1:39:36,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-138.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/Naked-Bible-138.pdf,what day jesus born
